permit_number;permit_type;filed_date;issued_date;completed_date;current_status;neighborhood;estimated_cost;days_to_issue;days_to_complete;year
201505065519;sign - erect;2015-05-06;2015-11-09;NULL;expired;Tenderloin;4000.0;187.0;NULL;2015
201604195146;sign - erect;2016-04-19;2017-08-03;NULL;issued;Tenderloin;1.0;471.0;NULL;2016
201605278609;additions alterations or repairs;2016-05-27;NULL;NULL;withdrawn;Russian Hill;20000.0;NULL;NULL;2016
201611072166;otc alterations permit;2016-11-07;2017-07-18;2017-07-24;complete;Nob Hill;2000.0;253.0;259.0;2016
201611283529;demolitions;2016-11-28;2017-12-01;NULL;issued;Tenderloin;100000.0;368.0;NULL;2016
201706149344;otc alterations permit;2017-06-14;2017-07-06;NULL;issued;Potrero Hill;4000.0;22.0;NULL;2017
201706300814;otc alterations permit;2017-06-30;2017-06-30;2017-07-12;complete;Inner Sunset;12000.0;0.0;12.0;2017
M803667;otc alterations permit;2017-06-30;2017-06-30;NULL;issued;Bayview Hunters Point;NULL;0.0;NULL;2017
M804227;otc alterations permit;2017-07-05;2017-07-05;NULL;issued;Lone Mountain/USF;NULL;0.0;NULL;2017
M804767;otc alterations permit;2017-07-06;2017-07-06;NULL;issued;Haight Ashbury;NULL;0.0;NULL;2017
M805287;otc alterations permit;2017-07-06;2017-07-06;NULL;issued;Castro/Upper Market;NULL;0.0;NULL;2017
M805907;otc alterations permit;2017-07-07;2017-07-07;NULL;issued;Hayes Valley;NULL;0.0;NULL;2017
M806447;otc alterations permit;2017-07-10;2017-07-10;NULL;issued;Noe Valley;NULL;0.0;NULL;2017
201707252846;otc alterations permit;2017-07-25;NULL;NULL;filed;Noe Valley;30000.0;NULL;NULL;2017
M813729;otc alterations permit;2017-07-26;2017-07-26;NULL;issued;Pacific Heights;NULL;0.0;NULL;2017
M813907;otc alterations permit;2017-07-27;2017-07-27;NULL;issued;Chinatown;NULL;0.0;NULL;2017
M813967;otc alterations permit;2017-07-27;2017-07-27;NULL;issued;Financial District/South Beach;NULL;0.0;NULL;2017
M814148;otc alterations permit;2017-07-27;2017-07-27;NULL;issued;Noe Valley;NULL;0.0;NULL;2017
